ID,CODSEC,DIR,ZHFG,TIPORESLZHF,ESTRATO,LOCALIDAD,UPZ,LONG,LAT,CONDJUR,AT,VALTER,VALTOTER,USO,SISTCON,PUNTAJE,EDAD,AC,AREATC,VALORC,VRTOTAL,AVALUO,INTEGRAL,ACTECOIM,TIPOAEI
55,004103191100000000,KR 17 8 30,6443215152122,3,3,14,,,,2,372.90,320000,119328000,025,A,70,29,372.90,372.90,260000,96954000,216282000,580000,2,2
56,002302131500000000,KR 32 27 44 SUR,6462215152113,3,3,15,,,,2,320.00,250000,80000000,001,A,36,40,135.90,414.60,180000,74628000,154628000,372957,1,3
56,002302131500000000,KR 32 27 44 SUR,6462215152113,3,3,15,,,,2,320.00,250000,80000000,033,A,36,95,278.70,414.60,180000,50166000,157346000,379513,1,3
57,002302162400000000,CL 27 SUR 28 A 65,6462215152132,3,3,15,,,,2,468.00,250000,117000000,022,A,46,66,120.00,708.00,200000,181680000,298680000,421864,3,2
57,002302162400000000,CL 27 SUR 28 A 65,6462215152132,3,3,15,,,,2,468.00,250000,117000000,025,A,62,66,348.00,708.00,260000,90480000,298680000,421864,3,2
57,002302162400000000,CL 27 SUR 28 A 65,6462215152132,3,3,15,,,,2,468.00,250000,117000000,080,A,68,66,240.00,708.00,280000,67200000,298680000,421864,3,2
58,002302164100000000,AK 27 27 57 SUR,6462215152113,3,3,15,,,,2,329.30,220000,72446000,001,A,25,56,99.20,226.70,140000,35563000,108009000,476440,1,3
58,002302164100000000,AK 27 27 57 SUR,6462215152113,3,3,15,,,,2,329.30,220000,72446000,033,A,31,82,127.50,226.70,170000,21675000,105459000,465192,1,3
59,002302180900000000,CL 29 SUR  32 66 Esq,6462215152132,3,3,15,,,,2,470.00,220000,103400000,001,A,54,55,249.40,719.80,220000,186352000,289752000,402545,3,2
59,002302180900000000,CL 29 SUR  32 66 ,6462215152132,3,3,15,,,,2,470.00,220000,103400000,025,A,62,55,368.40,719.80,260000,95784000,289752000,402545,3,2
59,002302180900000000,CL 29 SUR  32 66 ,6462215152132,3,3,15,,,,2,470.00,220000,103400000,080,A,68,55,102.00,719.80,350000,35700000,289752000,402545,3,2
60,002302240600000000,Cl  30 SUR  32 52,6462215152133,3,3,15,,,,2,378.00,220000,83160000,001,A,41,12,148.20,752.40,220000,173926000,298680000,421864,3,3
60,002302240600000000,Cl  30 SUR  32 52,6462215152133,3,3,15,,,,2,378.00,220000,83160000,003,A,47,10,133.00,752.40,240000,31920000,298680000,421864,3,3
60,002302240600000000,Cl  30 SUR  32 52,6462215152133,3,3,15,,,,2,378.00,220000,83160000,022,A,45,10,186.20,752.40,210000,39102000,298680000,421864,3,3
60,002302240600000000,Cl  30 SUR  32 52,6462215152133,3,3,15,,,,2,378.00,220000,83160000,025,A,60,11,190.00,752.40,250000,47500000,298680000,421864,3,3
60,002302240600000000,Cl  30 SUR  32 52,6462215152133,3,3,15,,,,2,378.00,220000,83160000,080,A,48,10,95.00,752.40,240000,22800000,298680000,421864,3,3
61,002302323700000000,AK 27 30 21 SUR,6462215152122,3,3,15,,,,2,262.00,350000,91700000,020,A,52,54,69.20,427.90,220000,86964000,178664000,417537,2,2
61,002302323700000000,AK 27 30 21 SUR,6462215152122,3,3,15,,,,2,262.00,350000,91700000,022,A,43,54,240.50,427.90,200000,48100000,180740000,422388,2,2
61,002302323700000000,AK 27 30 21 SUR,6462215152122,3,3,15,,,,2,262.00,350000,91700000,033,A,46,54,118.20,427.90,200000,23640000,180740000,422388,2,2
62,002304031600000000,AK 27  26 56  SUR,6232215151322,3,3,18,,,,2,640.00,380000,243200000,033,A,41,35,94.90,132.00,190000,25451000,268651000,2035235,2,2
62,002304031600000000,AK 27  26 56  SUR,6232215151322,3,3,18,,,,2,640.00,380000,243200000,033,A,46,35,37.10,132.00,200000,7420000,268651000,2035235,2,2
63,002304041300000000,TV 28  26 48 SUR ,6232215151121,3,3,18,,,,2,432.60,220000,95172000,025,A,55,9,450.00,450.00,240000,108000000,203172000,451493,2,1
64,002304043600000000,TV 27  27 45 SUR,6232215151121,3,3,18,,,,2,308.10,260000,80106000,025,A,56,56,222.20,390.80,260000,95008000,175114000,448091,2,1
64,002304043600000000,TV 27  27 45 SUR,6232215151121,3,3,18,,,,2,308.10,260000,80106000,080,A,51,56,86.70,390.80,250000,56225000,175114000,448091,2,1
64,002304043600000000,TV 27  27 45 SUR,6232215151121,3,3,18,,,,2,308.10,260000,80106000,022,A,38,56,81.90,390.80,190000,15561000,175114000,448091,2,1
65,002304073500000000,KR 25 23 A  05 SUR,6232215151113,3,3,18,,,,2,225.00,220000,49500000,025,A,60,21,138.20,336.40,250000,97974000,147474000,438389,1,3
65,002304073500000000,KR 25 23 A  05 SUR,6232215151113,3,3,18,,,,2,225.00,220000,49500000,080,A,67,21,198.20,336.40,320000,63424000,147474000,438389,1,3
66,002304082200000000,KR 26 24 25 SUR,6232215151121,3,3,18,,,,2,194.90,220000,42878000,001,A,39,34,166.60,362.90,230000,55245000,98123000,270386,2,1
66,002304082200000000,KR 26 24 25 SUR,6232215151121,3,3,18,,,,2,194.90,220000,42878000,022,A,38,34,65.10,362.90,170000,11067000,98123000,270386,2,1
66,002304082200000000,KR 26 24 25 SUR,6232215151121,3,3,18,,,,2,194.90,220000,42878000,070,A,14,34,117.20,362.90,50000,5860000,98123000,270386,2,1
66,002304082200000000,KR 26 24 25 SUR,6232215151121,3,3,18,,,,2,194.90,220000,42878000,003,A,44,34,14.00,362.90,230000,3220000,98123000,270386,2,1
67,002305010400000000,DG 31 BIS  SUR 28 A  36,6232215153113,3,3,18,,,,2,473.20,230000,108836000,001,A,20,30,64.35,473.20,130000,102401000,211237000,446401,1,3
67,002305010400000000,DG 31 BIS  SUR 28 A  36,6232215153113,3,3,18,,,,2,473.20,230000,108836000,025,A,48,30,408.85,473.20,230000,94035500,217672000,460000,1,3
68,002302051000000000,AC 22 SUR 32 A 49 ,6462215152422,3,3,15,,,,2,147.00,450000,66150000,022,A,45,8,56.40,175.20,220000,33792000,99942000,570445,2,2
68,002302051000000000,AC 22 SUR 32 A 49 ,6462215152422,3,3,15,,,,2,147.00,450000,66150000,033,A,52,8,118.80,175.20,180000,21384000,99942000,570445,2,2
69,002305223200000000,AK 24 31C 69 SUR,6232215153321,3,3,18,,,,2,390.00,300000,117000000,004,A,45,26,302.48,545.79,250000,124282000,241282000,442078,2,1
69,002305223200000000,AK 24 31C 69 SUR,6232215153321,3,3,18,,,,2,390.00,300000,117000000,025,A,48,26,243.31,545.79,200000,48662000,241282000,442078,2,1
70,002306051600200000,KR 30 36 26 SUR,6232215152113,3,3,18,,,,2,0.00,0,0,001,A,35,16,63.00,231.00,180000,11340000,44940000,194545,1,3
70,002306051600200000,KR 30 36 26 SUR,6232215152113,3,3,18,,,,2,0.00,0,0,022,A,46,16,63.00,231.00,200000,12600000,47460000,205455,1,3
70,002306051600200000,KR 30 36 26 SUR,6232215152113,3,3,18,,,,2,0.00,0,0,025,A,44,16,105.00,231.00,200000,21000000,47460000,205455,1,3
71,002307092900000000,KR 27 38A 25S,6232315151122,3,3,18,,,,2,1056.10,180000,190098000,033,A,23,68,282.80,470.60,150000,42420000,257686000,547569,2,2
71,002307092900000000,KR 27 38A 25S,6232315151122,3,3,18,,,,2,1056.10,180000,190098000,001,A,28,68,99.20,470.60,120000,11904000,251170000,533723,2,2
71,002307092900000000,KR 27 38A 25S,6232315151122,3,3,18,,,,2,1056.10,180000,190098000,004,A,33,68,21.50,470.60,180000,3870000,251170000,533723,2,2
